id;year;gpa;maths_exam;art_exam;language_exam;social_activity;essay_score;interview_score;score;accepted;graduated
CS-1980-00317;1980;3.376559032;0.948430008;0.341242018;0.903192969;4;0.985889332;0.917839199;813;TRUE;TRUE
CS-1980-00319;1980;3.701245111;0.378260436;0.692186755;0.448801198;2;0.938625134;0.981017046;803;TRUE;FALSE
CS-1980-00321;1980;3.949850275;0.966913365;0.815972829;0.992498463;3;0.998339548;0.992443508;901;TRUE;TRUE
CS-1980-00327;1980;3.888272031;0.995438694;0.94335715;0.957197175;1;0.979519589;0.999742416;787;TRUE;FALSE
CS-1980-00329;1980;3.592801698;0.991959683;0.489377811;0.759764876;2;0.972704817;0.958291296;854;TRUE;TRUE
CS-1980-00331;1980;3.661427955;0.92348959;0.571358945;0.993457078;2;0.983581914;0.951080035;805;TRUE;TRUE
CS-1980-00334;1980;2.949994355;0.978548086;0.966465345;0.810821079;2;0.815329584;0.986146651;771;TRUE;FALSE
CS-1980-00337;1980;3.768901017;0.187267499;0.900379201;0.531949576;5;0.991437028;0.997396966;818;TRUE;FALSE
CS-1980-00347;1980;3.750008836;0.402567248;0.69873427;0.730269141;2;0.987930999;0.960920058;797;TRUE;TRUE
CS-1980-00348;1980;3.532693533;0.810600456;0.941286785;0.4571225;2;0.963669838;0.864162686;784;TRUE;TRUE
CS-1980-00357;1980;3.469792579;0.971717152;0.986541946;0.999144738;1;0.99165714;0.967050296;837;TRUE;TRUE
CS-1980-00358;1980;3.374617444;0.999297623;0.906575719;0.985954957;4;0.733405892;0.999087921;785;TRUE;TRUE
CS-1980-00363;1980;3.966340275;0.977903916;0.745610912;0.94850496;4;0.991984596;0.998821993;847;TRUE;FALSE
CS-1980-00385;1980;3.500048208;0.943315541;0.990811564;0.77388743;3;0.994238541;0.997848707;807;TRUE;TRUE
CS-1980-00392;1980;3.411638386;0.929544868;0.466858431;0.863396559;3;0.988716749;0.986770164;768;TRUE;TRUE
CS-1980-00396;1980;3.502151954;0.895794508;0.896069742;0.031076834;1;0.54465251;0.982119263;782;TRUE;FALSE
CS-1980-00403;1980;3.847642032;0.99478386;0.978160217;0.974624023;1;0.988266884;0.999836033;822;TRUE;FALSE
CS-1980-00412;1980;3.237951787;0.84058972;0.496703673;0.57244224;4;0.990653577;0.73393327;787;TRUE;TRUE
CS-1980-00430;1980;3.427062997;0.987071208;0.540095857;0.78468182;5;0.863494872;0.981981015;801;TRUE;FALSE
CS-1980-00432;1980;3.870394084;0.68577402;0.930349997;0.991913862;5;0.999315045;0.999565303;819;TRUE;TRUE
CS-1980-00439;1980;3.993807446;0.983737699;0.983345399;0.985807513;5;0.856623256;0.992335766;835;TRUE;TRUE
CS-1980-00440;1980;3.69313661;0.706121138;0.994846767;0.845419875;5;0.995733757;0.988194696;841;TRUE;TRUE
CS-1980-00448;1980;3.59135445;0.903763874;0.994168643;0.959444098;3;0.766766104;0.995082929;787;TRUE;TRUE
CS-1980-00453;1980;3.884341217;0.984328503;0.947692845;0.963769931;1;0.992805724;0.952963003;817;TRUE;FALSE
CS-1980-00455;1980;3.576347061;0.990322102;0.964457106;0.600190326;3;0.994465761;0.986362374;844;TRUE;TRUE
CS-1980-00456;1980;3.714872382;0.999812476;0.071035058;0.660143956;4;0.928496851;0.982013607;832;TRUE;TRUE
CS-1980-00459;1980;3.827650611;0.855367754;0.835908724;0.971391708;1;0.998407589;0.998298367;793;TRUE;TRUE
CS-1980-00462;1980;3.332590718;0.95244041;0.956557674;0.894610579;3;0.924791184;0.995127947;787;TRUE;TRUE
CS-1980-00464;1980;3.440225443;0.979800003;0.071629481;0.362281587;1;0.880727123;0.959508618;777;TRUE;FALSE
CS-1980-00466;1980;3.831026089;0.35872814;0.947273139;0.638693569;4;0.977420516;0.936942301;808;TRUE;TRUE
CS-1980-00479;1980;3.988873085;0.980545653;0.98925516;0.975777131;4;0.952432253;0.999802779;852;TRUE;TRUE
CS-1980-00485;1980;3.99400967;0.771041225;0.995149477;0.894320704;1;0.997394273;0.990073055;817;TRUE;FALSE
CS-1980-00487;1980;3.550265467;0.979696732;0.930675435;0.991210114;2;0.998877027;0.999579764;814;TRUE;FALSE
CS-1980-00493;1980;3.848928729;0.988599709;0.867696151;0.995786716;4;0.828590448;0.974409777;815;TRUE;TRUE
CS-1980-00497;1980;3.722689575;0.392043459;0.881136515;0.649518931;3;0.88057197;0.998965082;778;TRUE;TRUE
CS-1980-00499;1980;3.817832292;0.344539075;0.847056429;0.960939203;1;0.963278438;0.96852275;807;TRUE;FALSE
CS-1980-00506;1980;3.475996945;0.619477672;0.943383864;0.990237426;4;0.999472531;0.973970195;837;TRUE;TRUE
CS-1980-00512;1980;3.7054856;0.879535058;0.993330724;0.984881295;1;0.994754075;0.98323364;822;TRUE;FALSE
CS-1980-00519;1980;3.250020668;0.955332222;0.857563422;0.998631368;1;0.999069124;0.989506839;777;TRUE;FALSE
CS-1980-00520;1980;3.652836412;0.898209601;0.485040996;0.928006606;3;0.998429232;0.896984441;877;TRUE;TRUE
CS-1980-00521;1980;3.321466393;0.949851183;0.999440798;0.992715804;3;0.966035067;0.854478216;842;TRUE;TRUE
CS-1980-00526;1980;3.703159616;0.848946668;0.219718785;0.568735967;4;0.998387285;0.989809483;835;TRUE;TRUE
CS-1980-00535;1980;3.660074036;0.787657318;0.527246556;0.929609345;4;0.928667931;0.988062577;810;TRUE;TRUE
CS-1980-00540;1980;3.318675025;0.759368339;0.905142678;0.853353168;5;0.991754574;0.924744597;776;TRUE;TRUE
CS-1980-00542;1980;3.753939876;0.761901911;0.981347913;0.983465699;2;0.957272206;0.998686401;833;TRUE;FALSE
CS-1980-00546;1980;3.703065587;0.899600922;0.862838273;0.985261049;2;0.990569427;0.998818095;816;TRUE;TRUE
CS-1980-00548;1980;3.848104405;0.086610153;0.09357169;0.998239738;2;0.998878789;0.989877531;774;TRUE;FALSE
CS-1980-00549;1980;3.34577062;0.992553495;0.700367655;0.883740822;1;0.992567738;0.93882923;786;TRUE;TRUE
CS-1980-00550;1980;3.886385942;0.985911914;0.997707296;0.970242806;2;0.999599558;0.994905081;804;TRUE;TRUE
CS-1980-00554;1980;3.936384964;0.885613964;0.821489761;0.965627017;5;0.997876609;0.999652487;878;TRUE;TRUE
CS-1980-00557;1980;3.959637029;0.947873379;0.999596092;0.904054472;2;0.998273692;0.999892299;869;TRUE;TRUE
CS-1980-00559;1980;3.833207462;0.342016048;0.998271635;0.957397298;3;0.998568618;0.960111954;818;TRUE;TRUE
CS-1980-00569;1980;3.719212131;0.852546267;0.98794466;0.995412916;4;0.994149032;0.999026372;787;TRUE;TRUE
CS-1980-00571;1980;3.838888002;0.938940063;0.902161989;0.998040772;2;0.881935321;0.995865175;828;TRUE;TRUE
CS-1980-00573;1980;3.567378284;0.136859742;0.982360817;0.996487674;5;0.995545601;0.988169664;769;TRUE;FALSE
CS-1980-00580;1980;3.699079828;0.984548497;0.322158801;0.935288239;3;0.98514386;0.977216511;887;TRUE;TRUE
CS-1980-00586;1980;3.245503314;0.237584629;0.931876049;0.877236358;5;0.992055715;0.917465981;772;TRUE;FALSE
CS-1980-00590;1980;3.15933189;0.972454783;0.782215323;0.720988873;5;0.920348746;0.9430481;789;TRUE;FALSE
CS-1980-00593;1980;3.818420444;0.970116344;0.994034302;0.356525932;4;0.693637981;0.977209189;779;TRUE;TRUE
CS-1980-00595;1980;3.407908958;0.679812885;0.986417239;0.962274902;4;0.989638342;0.964508827;834;TRUE;FALSE
CS-1980-00599;1980;3.957304725;0.850971194;0.449988709;0.941064604;1;0.972624709;0.630618311;870;TRUE;TRUE
CS-1980-00603;1980;3.525072378;0.171198957;0.997215475;0.45514196;2;0.997025738;0.828573761;764;TRUE;TRUE
CS-1980-00605;1980;3.277073457;0.983532978;0.71030263;0.192299734;1;0.963961582;0.859797946;814;TRUE;TRUE
CS-1980-00606;1980;3.754004082;0.897025064;0.779627611;0.81826444;4;0.951975522;0.981549303;828;TRUE;TRUE
CS-1980-00610;1980;3.867247677;0.996379019;0.999215564;0.996781234;4;0.994390259;0.998271826;832;TRUE;TRUE
CS-1980-00616;1980;3.070011543;0.96255005;0.225178133;0.863418194;1;0.964134257;0.942015992;792;TRUE;TRUE
CS-1980-00623;1980;3.959757409;0.993613228;0.980483474;0.985594865;4;0.950864688;0.71796507;806;TRUE;FALSE
CS-1980-00626;1980;3.521441789;0.990490501;0.972458027;0.119781733;4;0.981532911;0.980115171;807;TRUE;TRUE
CS-1980-00628;1980;3.897543133;0.97918906;0.949679022;0.754777077;1;0.993700017;0.989601312;838;TRUE;TRUE
CS-1980-00633;1980;3.68579498;0.966184918;0.910245894;0.860164092;2;0.999130326;0.759592628;803;TRUE;TRUE
CS-1980-00634;1980;3.616081835;0.974365062;0.940958494;0.616573734;1;0.987521837;0.968981561;857;TRUE;FALSE
CS-1980-00638;1980;3.083662258;0.946011378;0.988297032;0.945059537;4;0.899127591;0.999640912;824;TRUE;TRUE
CS-1980-00639;1980;3.541920684;0.94618718;0.818362765;0.547446504;3;0.902251066;0.888037717;765;TRUE;TRUE
CS-1980-00642;1980;3.472016451;0.699511069;0.877143086;0.94795206;2;0.987153841;0.988708397;779;TRUE;TRUE
CS-1980-00644;1980;3.656127255;0.736469721;0.991023584;0.581446511;4;0.999282931;0.99744274;796;TRUE;FALSE
CS-1980-00664;1980;3.976995307;0.974320346;0.936282889;0.966149027;1;0.97715792;0.997237374;895;TRUE;TRUE
CS-1980-00665;1980;3.899528748;0.985502429;0.927705583;0.970990603;2;0.950293903;0.998221378;836;TRUE;TRUE
CS-1980-00669;1980;3.733079969;0.999359953;0.886591789;0.671004916;2;0.429256158;0.987592836;764;TRUE;TRUE
CS-1980-00670;1980;2.877366551;0.96602859;0.986791431;0.378472785;5;0.996198024;0.984082038;793;TRUE;FALSE
CS-1980-00673;1980;3.909706772;0.278964183;0.935796605;0.994168936;5;0.979528367;0.999979654;778;TRUE;TRUE
CS-1980-00675;1980;3.578582951;0.653528787;0.096019446;0.861689854;1;0.974677389;0.977902203;824;TRUE;TRUE
CS-1980-00678;1980;3.345513388;0.637920664;0.819929438;0.92902826;2;0.904219607;0.99321055;768;TRUE;FALSE
CS-1980-00681;1980;3.853115933;0.885554618;0.994575398;0.614075643;2;0.994999882;0.997920749;906;TRUE;TRUE
CS-1980-00685;1980;3.03411479;0.958821133;0.946716455;0.643564902;3;0.967860822;0.994831731;770;TRUE;TRUE
CS-1980-00686;1980;3.914285134;0.696501571;0.998216355;0.814454296;3;0.998533635;0.995523391;801;TRUE;TRUE
CS-1980-00689;1980;3.972119866;0.994492976;0.713769908;0.996377237;4;0.988471995;0.838345734;797;TRUE;FALSE
CS-1980-00706;1980;3.945025064;0.998908798;0.756610486;0.910106744;3;0.990335688;0.994431248;816;TRUE;TRUE
CS-1980-00711;1980;3.490669305;0.455945346;0.259494766;0.833796474;5;0.493512141;0.975890286;780;TRUE;TRUE
CS-1980-00712;1980;3.681219851;0.896102251;0.927249597;0.487613823;4;0.994097816;0.992418124;858;TRUE;TRUE
CS-1980-00715;1980;3.410331645;0.888194421;0.918006156;0.937461872;4;0.990614415;0.998000453;819;TRUE;TRUE
CS-1980-00718;1980;3.721332073;0.785127504;0.958317213;0.559570234;2;0.953246791;0.997772133;833;TRUE;TRUE
CS-1980-00724;1980;3.681133945;0.987558727;0.977837352;0.277002678;2;0.978586109;0.936343243;806;TRUE;FALSE
CS-1980-00728;1980;2.989231189;0.885707071;0.410440445;0.993768906;3;0.993395294;0.997595382;794;TRUE;TRUE
CS-1980-00730;1980;3.98355513;0.99714747;0.278466964;0.986972817;2;0.754574925;0.964580815;857;TRUE;TRUE
CS-1980-00731;1980;3.911415044;0.986697124;0.960225872;0.950452295;4;0.987452422;0.9905127;813;TRUE;FALSE
CS-1980-00733;1980;3.978362366;0.978615224;0.935645104;0.630483264;4;0.997785692;0.999511031;876;TRUE;TRUE
CS-1980-00735;1980;3.501218296;0.961207633;0.007756632;0.950553194;1;0.972376957;0.831991758;821;TRUE;TRUE
CS-1980-00737;1980;3.451642105;0.865175274;0.977769691;0.873665026;4;0.998491824;0.937898071;832;TRUE;TRUE
CS-1980-00742;1980;3.134644392;0.954826143;0.970857296;0.978161817;4;0.968391909;0.983773091;766;TRUE;TRUE
CS-1980-00747;1980;3.394468059;0.832948373;0.979224188;0.126341472;5;0.963606558;0.990775305;803;TRUE;TRUE
CS-1980-00748;1980;3.63001047;0.720656711;0.589375551;0.89598364;3;0.559286342;0.973361626;804;TRUE;TRUE
CS-1980-00750;1980;3.916413621;0.975336548;0.964013413;0.995700717;5;0.999893206;0.999192488;885;TRUE;TRUE
CS-1980-00763;1980;3.661823721;0.997455151;0.77904503;0.96656777;5;0.970484025;0.970673378;916;TRUE;TRUE
CS-1980-00766;1980;3.691898563;0.958543439;0.997584373;0.972062966;5;0.999573853;0.937117474;822;TRUE;TRUE
CS-1980-00773;1980;3.886480389;0.948292951;0.930012972;0.926540602;1;0.992969709;0.959034983;791;TRUE;TRUE
CS-1980-00777;1980;3.818789494;0.776770662;0.751255339;0.995873388;1;0.923908204;0.927776422;788;TRUE;TRUE
CS-1980-00783;1980;3.908993634;0.998147061;0.999375966;0.411858218;3;0.99952425;0.897516217;824;TRUE;TRUE
CS-1980-00786;1980;3.850392984;0.981732433;0.615056891;0.746820072;3;0.997823844;0.983854291;870;TRUE;FALSE
CS-1980-00795;1980;3.372444626;0.995558275;0.93499657;0.858699919;3;0.944121945;0.988577216;835;TRUE;FALSE
CS-1980-00801;1980;3.654775174;0.465072214;0.947519283;0.998739356;2;0.999975076;0.970284384;837;TRUE;TRUE
CS-1980-00803;1980;3.857183379;0.767033105;0.539637413;0.979423669;3;0.908048117;0.952722508;814;TRUE;TRUE
CS-1980-00814;1980;3.570921944;0.977933845;0.27091146;0.653692766;3;0.489108537;0.770030118;770;TRUE;TRUE
CS-1980-00821;1980;3.609722495;0.988775648;0.82220217;0.973259889;5;0.983824657;0.998914909;837;TRUE;TRUE
CS-1980-00833;1980;3.285097509;0.907055935;0.632082527;0.984804562;3;0.996635078;0.965960082;781;TRUE;TRUE
CS-1980-00837;1980;3.490835798;0.989805639;0.879721656;0.955033707;4;0.81017573;0.999717492;816;TRUE;TRUE
CS-1980-00848;1980;3.291165333;0.894278612;0.910529933;0.977621624;1;0.928967928;0.995245867;810;TRUE;FALSE
CS-1980-00850;1980;3.462298002;0.921204026;0.97693237;0.88378768;1;0.980624923;0.931317388;769;TRUE;FALSE
CS-1980-00851;1980;3.815369053;0.974402405;0.915464523;0.999133086;2;0.994564654;0.999540689;843;TRUE;FALSE
CS-1980-00855;1980;3.767308858;0.908684729;0.779076503;0.911656507;1;0.990801806;0.968500488;843;TRUE;TRUE
CS-1980-00862;1980;3.941536512;0.997945307;0.688688074;0.991322311;5;0.998801915;0.998513746;888;TRUE;TRUE
CS-1980-00864;1980;3.332176095;0.997299868;0.97478278;0.957419582;1;0.997283995;0.986936565;791;TRUE;FALSE
CS-1980-00871;1980;3.356667167;0.962691046;0.84296189;0.982038276;2;0.998067072;0.997477811;840;TRUE;TRUE
CS-1980-00873;1980;3.646777018;0.974902571;0.945169473;0.948989517;3;0.987792571;0.62937558;791;TRUE;TRUE
CS-1980-00876;1980;3.151443398;0.863678186;0.713769366;0.974368495;5;0.982493774;0.998740202;769;TRUE;TRUE
CS-1980-00880;1980;3.944280889;0.997881865;0.964572915;0.858467575;5;0.958490866;0.992844338;897;TRUE;TRUE
CS-1980-00883;1980;3.315054;0.952215422;0.684867817;0.989947501;3;0.785739406;0.887584984;804;TRUE;FALSE
CS-1980-00894;1980;3.356159334;0.770570307;0.996659404;0.950766625;3;0.896455194;0.996533256;810;TRUE;FALSE
CS-1980-00900;1980;3.453542185;0.883840746;0.933765787;0.436316043;5;0.790534733;0.975288207;781;TRUE;TRUE
CS-1980-00903;1980;3.668498504;0.89506663;0.964138407;0.974295974;4;0.991472934;0.998214483;866;TRUE;TRUE
CS-1980-00904;1980;3.827664905;0.998769656;0.920871759;0.917549867;4;0.999558801;0.999776296;876;TRUE;FALSE
CS-1980-00906;1980;3.940589948;0.996913826;0.997352477;0.956513096;2;0.999770967;0.999776936;890;TRUE;TRUE
CS-1980-00909;1980;3.934984718;0.778832449;0.986162584;0.984267976;5;0.993004371;0.999615658;880;TRUE;TRUE
CS-1980-00911;1980;3.937381106;0.999587775;0.888990122;0.082384395;3;0.992378445;0.993036665;810;TRUE;TRUE
CS-1980-00915;1980;3.602807843;0.944851857;0.601711739;0.831593978;2;0.997370835;0.998108843;866;TRUE;FALSE
CS-1980-00916;1980;3.706772426;0.551117107;0.947875202;0.949751348;2;0.996274836;0.967654356;826;TRUE;TRUE
CS-1980-00924;1980;3.991010399;0.718405917;0.943923618;0.930444725;3;0.994561328;0.996318814;827;TRUE;TRUE
CS-1980-00925;1980;3.464487219;0.995608097;0.41022393;0.640084656;1;0.58553808;0.944670192;789;TRUE;FALSE
CS-1980-00940;1980;3.001442606;0.471713029;0.844210842;0.621236746;2;0.912924587;0.924240502;796;TRUE;FALSE
CS-1980-00952;1980;3.605165513;0.821755595;0.61890796;0.599412258;2;0.476899487;0.979838561;805;TRUE;TRUE
CS-1980-00953;1980;3.71553775;0.94844662;0.777505268;0.529461621;2;0.970752642;0.837790461;833;TRUE;TRUE
CS-1980-00972;1980;3.708167851;0.882321495;0.916667885;0.9000412;1;0.997165184;0.999195159;885;TRUE;TRUE
CS-1981-00013;1981;3.480211136;0.966745426;0.919552455;0.758558821;2;0.900636583;0.844045157;699;TRUE;TRUE
CS-1981-00023;1981;3.590149357;0.994733644;0.592070972;0.963656834;4;0.986505934;0.819897029;754;TRUE;TRUE
CS-1981-00026;1981;3.354725091;0.983215249;0.574470583;0.111412563;5;0.799760539;0.995879334;822;TRUE;FALSE
CS-1981-00027;1981;3.208699484;0.829936025;0.677828536;0.913331158;5;0.98265441;0.971618175;752;TRUE;TRUE
CS-1981-00032;1981;3.620327195;0.668436005;0.951538123;0.98267202;5;0.997888692;0.946884491;804;TRUE;TRUE
CS-1981-00034;1981;3.896971968;0.823823218;0.995238918;0.958900006;1;0.999537346;0.999438189;776;TRUE;TRUE
CS-1981-00037;1981;3.937404392;0.970651711;0.953979692;0.973183566;5;0.950855064;0.995608537;771;TRUE;TRUE
CS-1981-00042;1981;3.707773712;0.960955424;0.996950539;0.887061654;2;0.994696795;0.982945117;800;TRUE;FALSE
CS-1981-00043;1981;3.196066743;0.869331911;0.860997657;0.712505184;5;0.928759401;0.997438588;758;TRUE;TRUE
CS-1981-00044;1981;3.786065897;0.917554053;0.974681283;0.949751893;4;0.999076775;0.997414;830;TRUE;TRUE
CS-1981-00050;1981;3.960956959;0.92443035;0.7683035;0.239459241;2;0.930077688;0.645230066;803;TRUE;TRUE
CS-1981-00053;1981;3.460295187;0.98166017;0.572735902;0.749821879;3;0.998369704;0.98560271;725;TRUE;TRUE
CS-1981-00059;1981;3.829114613;0.778616058;0.875528109;0.962118423;3;0.871517336;0.999251307;748;TRUE;FALSE
